मसूरी	ma suu rii
लड़का	lad: kaa
कैटलॉग	kait: laag
फुहारे	phu haa rei
थोरियू	thoo ri yuu
स्पष्टीकरण	spash t:ii ka ran:
नेकी	nei kii
लतादि	la taa di
किंवदंतियों	kin va dan ti yoon
कहानीयाँ	ka haa nii yan
मिलनसार	mi lan saar
पड़ौसियों	pa d:au si yoon
जाएँगे	jaaein gei
बनायेगी	ba naa yei gii
छुपाये	chhu paa yei
मुनीसा	mu nii saa
इंकलाब	in ka laab
शोभा	shoo bhaa
परिजनों	pa ri ja noon
फुल	phul
छोड़ता	chhood: taa
महेश	ma heish
प्रतिभागी	pra ti bhaa gii
कलैण्ङर	ka lein d:ar
प्रमाणित	pra maa n:it
हुऐं	huein
निस्स्वार्थ	nis vaarth
वृंदावन	vrxin daa van
संकेतकों	san kei ta koon
सबका	sab kaa
अपहरण	ap ha ran:
शंक्वाकार	shan kvaa kaar
भारत	bhaa rat
नंदा	nan daa
यौगिक	yau gik
रिश्तेदार	rish tei daar
माई	maaii
पसन्द	pa sand
प्रतिद्वन्दी	pra tid van dii
पड़े	pa d:ei
दर्शन	dar shan
दरकार	da ra kaar
बावली	baa va lii
डिबेट	d:i beit
मंण्डी	man d:ii
बताऊँ	ba taauun
पेजों	pei joon
सुलझा	sul jhaa
बेढ़ंगे	ba d:hein gei
डूबे	d:uu bei
मसीहा	ma sii haa
सम्बंधित	sam ban dhit
जन्नत	jan nat
हिमनद	him nad
क्लाउडियस	koo laauu d:i yas
राजधानियों	raaj dhaa ni yoon
ग्रहों	gra hoon
आलाव	aa laav
कक्षा	kak shhaa
फिराक	phi raak
लोगो	loo goon
कन्द्रियकरण	kan dri yaa ka ran:
कितनी	kit nii
लोगे	loo gei
सम्बंधी	sam ban dhii
शर्ट	shart:
हल्का	hal kaa
धनलक्षमी	dha na lak shmii
शर्त	shart
राष्ट्रवादियों	raashh t:rxi va di yoon
जादू	jaa duu
आलोचाना	aa loo cha naa
भरता	bhar taa
दूरस्थ	duu rasth
निंदक	nin dak
समाया	sa maa yaa
यूनेस्को	yuu neis koon
शर्म	sharm
बदमाशियों	bad maa shi yoon
ग्रुप	grup
कूटनीति	kuut: ni:ti
गावे	gaa vei
अखण्ड	a khand:
हीटर	hii t:ar
नस्लवाद	nas lvaad
गिना	gi naa
पहलू	pah luu
संभालना	sam bhaal na
गाँधीवादी	gaan dhii vaa dii
शौहरत	shauh rat
सिखाता	si khaa taa
सूबेदार	suu bei daar
खलीफा	kha lii phaa
पूर्ति	puur ti
बटवारा	bat: vaa raa
दहेज	da heij
सैलानियों	sai laa ni yoon
आईआईएम	
वकीलों	va kii loon
ठीक	t:hiik
उपनिवेशवादी	u pa ni veish vaa dii
मर्द	mard
अभिलाषा	a bhi laa shaa
उपकथा	u pa ka thaa
नभादास	na bhaa daas
बुढ़ापा	bu d:haa paa
आसिफ	aa siph
किस्से	kis sei
एकदन्त	eik dan rxiat
फलकनुमा	pha lak nu maa
बनवाई	ba na vaaii
एक्टिविटी	eik t:i vi t:ii
सुसु	su su
रेटक्लिफ	reit: kliph
संघर्षों	sam gharshh
मुकाबला	mu kaab laa
पत्रक	pat rak
मालवीय	maal viiy
खिलाफत	khi la phat
पोस्टल	poos t:al
हमले	ham lei
पोस्टर	poos t:ar
खलिल	kha lil
कम्युनल	kam yu nal
जरुरी	ja ruu rii
मूलत	muu lat
सामरिक	saa ma rik
पाया	paa yaa
समृध	sam rxiddh
बलवंत	bal vant
सयुंक्त	
लिंक	link
रनों	ra noon
मानदंडों	maan dan d:oon
सांगली	saan gaa lii
निकलती	ni kaal tii
निकलते	ni ka la tei
वर्दी	var dii
अर्थात्	ar thaat
चाहिए	chaa hiei
घुले	ghu lei
इज	ij
गैसोलिन	gai soo lin
मा	ma
बडे	ba d:ei
घराने	gha raa nei
रुचिपूर्ण	ru chi puurn
बंधुओं	ban dhuoon
झल्लाकर	jhal laa kar
हरिश्चंद्र	ha rish chandr
अन्नत	a nant
हर्ष	harshh
तुरन्त	tu rant
दत्त	datt
सिखाया	si khaa yaa
सुनिश्चित	su nish chit
बैक्ट्रीरिया	baik t:ii ri yaa
होड़	hood:
गोवा	goov
झोपड़ियों	jhoo pa d:i yoon
जबसे	jab sei
मोजे	moo jei
पुरस्कारों	pu ras kaa roon
उपचार	u pa chaar
प्रतिभावान	pra ti bhaa vaan
सहज	sa haj
स्वाधीनता	svaa dhiin taa
मेहमानदारी	meih maan daa rii
जलवायु	jal vaa yu
वापसी	vaa pa sii
पढ़े	pa dhei
स्वास्थवर्धक	svaas tha var dhak
दाखिल	daa khil
सभ्याचार	sabh yaa char
वेबस्टर	veib st:ar
व्यर्थ	vyarth
बातों	baa toon
उमेशचन्द्र	u meish chandr
शिक्षिकों	shik shhi koon
समचार	sa maa chaar
फैमिलिरिस	phai mi li ris
अड्डें	ad: d:ei
कार्यक्रम	kaar yak ra ma
तीलियाँ	tii li yaa
एथेंस	ei theins
योजनाओं	yooj naaoon
इसरो	is roon
होगा	hoo gaa
साक्षी	saak shii
प्रतिज्ञाएँ	pra ti jaa theiy
सुनाया	su naa yaa
झुक	jhuk
बंदर	ban dar
संदीपनी	san diip nii
सम्माननीय	sam maan niiy
लहे	la hei
अगस्त	a gast
पाईप्स	paaiips
दिवंगत	di van gat
उतर	u tar
ईशु	ii shu
ईशू	ei shuu
जिरह	ji rah
सुनामियों	su naa mi yoon
बक्सा	bak saa
मई	maii
चुनौती	chu nau tii
अबु	a bu
साहस	saa has
हस्तिनापुर	his ta naa pur
कुर्ता	kur taa
क्रेजी	krei jii
वेबसाइट्स	veib saait:s
नुकासन	nuk saan
दादाओं	daa daaoon
आयरन	aay ran
सत्र	satr
भगवतीचरण	bhag va tii cha ran:
ईरान	ii raan
माँगी	maan gii
पिछड़ा	pichh d:aa
लाइसेंसो	laaei sein soon
इन्सेफेलाइटिस	in sei pha laai t:as
आख़िरी	aa khi rii
माँगे	maan gei
हुआ	huaa
सम्मानीय	sam maa niy
क्योंकि	kyoon ki
लूइज़	luuij
चित्रकुट	chit rxi koot:
दुरूपयोग	du rup yoog
हुए	huei
पूने	puu nei
अब्राहम	ab raa ham
हुई	huii
भूरी	bhuu rii
गोदावरी	goo daa va rii
श्रीराम	shrii raam
हिन्दूस्तानी	hin dus taa nii
राजनीजिक	raa ja ni jiik
अछूतोद्धार	a chhuu tood dhaar
घिरे	ghi rei
आशंका	aa shan kaa
जलियाँवालाबाग	ja li yaa va laa baagh
हत्याओं	hat yaaoon
गणित	ga n:it
वैध	vaidh
क्रांन्तिकारी	kraan ti kaa ri
नाथगुप्त	naath gupt
करवाने	kar vaa nei
पूर्णतावादी	puur n:a taa vaa dii
बेरटोल्ट	bei ra t:oolt:
बिखर	bi khar
ज्योति	jyoo ti
बन्दूकें	ban duu kein
बैण्ड	baind:
स्टेनले	st:ein lei
सहने	sa ha nei
ब्रह्मांण्ड	brah maand:
देवताओ	dei va taaoon
मॉल	mal
प्रविधियाँ	pra vi dhi yaa
उर्वरकों	ur va ra koon
पत्रकारों	pat ra kaa roon
पाठ्येतर	paa yei tar
बरसाने	bar saa nei
पुंजीक्ष्थला	pun jiik shhva la
बैंगलोर	bain gloor
क्रीम	kriim
बरसानी	ba ra saa nii
अंशों	an shoon
सहानूभुति	sa haa nu bhuu ti
बिरेन्द्र	
विधवाएँ	vi dha vaa yein
झेल	jheil
अधिवोशनों	a dhi vei shan
एक्सचेंज	eik scheinj
मुख्तार	mukh tar
बनाम	ba naam
ग्लानि	glaa ni
जिसमे	jis mei
लोकगायकों	look gaa ya koon
वेफर्स	vei phars
बढ़ने	ba d:ha nei
गढ्ढा	gad: d:haa
मरेंगे	ma rein gei
पाकिस्तान	paa kis taan
पैसे	pai sei
मनाने	ma naa nei
सहारा	sa haa raa
बाँटो	baan t:oon
मेवे	mei vei
मस्तमौला	mas tmau laa
उदासीन	u daa siin
बाँटी	baan t:ii
बहुतायात	ba hu taa yat
बाँटे	baan t:ei
अपराधिक	ap raa dhik
यूरो	yuu roo
फिक्रमंद	phik ra mand
उच्चशिखर	uch chshi khar
कीजै	kii jai
कीजे	kii jei
फियोना	phi yoo naa
आर्यव्रत	aar ya vart
उनपर	un par
शिलांग	shi laang
यूरी	yuu rii
अग्निवेश	ag ni veish
दोहराते	dooh raa tei
ईंधनों	iin dha noon
बजने	baj nei
नदियॉ	na di yaan
कुदशिया	kud shi yaa
नजरबयेव	na jar ba yeiv
आकार	aa kaar
कैरम	kai ram
अनुवादित	a nu vaa dit
सशस्त्र	
टर्निमग	t:rxi na mig
तैरने	tair nei
धमकियों	dham ki yoon
ज़हरीली	ja ha rii lii
मुंगेर	mun geir
ज़रुरत	ja ruu rat
छलांगों	chha laan goon
राशि	raa shi
भाप	bhaap
सबमें	sab mei
किताबों	ki taa boon
शत्रु	shat ru
छिपकर	chhip kar
नहछू	nah chhuu
धक्का	dhak kaa
मॉस्को	maas koon
समाहित	sa maa hit
दर्दनाक	dar da naak
उपाधियाँ	u paa dhi yaan
प्रारम्भः	praa rambh
कहि	ka hi
कहा	kah
सबसे	sab sei
सर्वानंद	sar vaa nand
उनमें	un mein
पीछे	pii chhei
अंशकालिक	an shkaa lik
सेकेंडों	seik d:oon
अल्पविराम	al pa vi raam
सनकीपन	san kii pan
डकैती	d:a kai tii
छटवें	chhat: vein
ज़्यादतर	jyaa da tar
दाहीने	daa hii nei
मोंटाना	moon t:aa naa
टुकङों	t:uk d:oon
पाठ्यशालाओं	paath ya shaa laaoon
अपने	ap nei
कज़ाकिस्तान	ka jaa kis taan
हाँ	haa
इंडियाज़	in d:i yaaj
स्तरों	sta roon
लीगेशन	lii gei shan
कंधों	kan dhoon
हुमायुँ	hu maa yun
पकाकर	pa kaa kar
राजा	raa jaa
बतासे	ba taa sei
सटा	sa t:aa
स्थगित	stha git
ड़ाले	d:a lei
संवा	san vaa
फैक्टरी	phaik t:ri
आभियान	aa bhi yaan
कमेटियों	ka mei t:i yoon
रिलीज़न	ri lii jan
सेवईयाँ	sei vai yaan
आशिष	aa shish
अतिवादी	a ti vaa di
सर्गों	sar goon
डालने	d:aal nei
कटवाते	kat: vaa tei
इमारतें	i maa ra tein
मैथिली	mai thi lii
कॉर्निया	kaar ni yaa
प्रत्यक्ष	prat yaksh
सल्तनत	sal ta nat
संवत	san vat
बच्चा	bach chaa
बायें	baa yein
चित्रित	chit rit
उपकरण	up ka ran:
चिल्ला	chil laa
सरस्वती	sa ras va tii
दादर	daa dar
एडुअर्ड	ei d:uard:
मरा	ma raa
अभयारण्यों	abh yaa ra n:oon
टेलीविजन	t:ei li vi jan
एशियन	ei shi yan
ओर	oor
ओम	oom
ज्ञानवर्धक	gyaan var dhak
इम्यूनो	im yuu noo
नवाजे	na vaa jei
ओन	oon
स्पीच	spiich
मल्हार	mal haar
एशिया	ei shi yaa
ग्वाला	gvaa laa
नायड़ू	naa ya d:uu
समझाया	sam jhaa yaa
गुलाम	gu laam
कश्यप	kash yap
पोते	poo tei
भुजाधारी	bhu jaa dhaa ri
रघुराई	ra ghu raaii
लगकर	la ga kar
भयानक	bha yaa nak
कहना	ka ha naa
मगन	ma gan
गुरुजनों	gu ru ja noon
अग्निहोत्री	ag ni hoot ri
नाटकों	naa t:a koon
प्लान	plaan
मूर्ती	muur tii
मगर	ma gar
सीखृने	siikh rxi nei
शत्	shat
कंजूस	kan juus
मनवाकर	man vaa kar
चारदीवारी	chaar dii vaa rii
स्थानान्तरण	sthaa naan ta ran:
हूँआजाद	huu naa jaad
मार्गशीर्ष	maar gash ri
एननांबियार	an na naa bi yaa roon
पर	par
हिस	hiss
प्रषदूण	pra duu shhan:
समझाता	sa ma jhaa taa
प्रतीकात्मक	prat kii makt
मुहावरे	mu haa va rei
होर्डिंग	hoor d:ing
विनाशों	vi naa shoon
